IAB ID,Company Name,Rating,Rating By Users,Rating Status,Google Map Number,EstablishedYear,5 Years Period,Office Address,Division,Thana,Postcode,Email ID,Contact,Website,Website Status,Name of Proprietor/Partner/Director,Lab ID,Designation,IAB Member Architect,Architectural Graduate,Total
IAB-RP-A11,ARCHIWORKS CONSULTANTS ,N/A,N/A,Unavailable,"23.774654838052843, 90.41237284931839",2009,2006-2010,"House-48, Road-02, Block-B, Niketan, Gulshan 01, Dhaka-1212",Dhaka, Gulshan, Dhaka-1212,archiworks.bd@hotmail.com,1715035772,www.archiworks.bd.wix.com/Home,Registered,Ar. Mohammad Arefeen Ibrahim,I-047,Proprietor,4,2,6
IAB-RP-A12,ARCHSEL ,N/A,N/A,Unavailable,"23.778977975718377, 90.39509512233235",1997,1996-2000,"34/KA, Shyamoli Pisiculture H/S, Dhaka-1207",Dhaka,Shyamoli, Dhaka-1207,mail@archsel.com," +88-02-8124698, 8116617",www.archsel.com,Registered,Ar. Imtiaz Farid Chowdhury,C-036,Chief Architect,2,6,8
IAB-RP-A13,ARESCON CONSULTANT,N/A,N/A,Unavailable,"23.755172740421873, 90.38763912528044",2004,2001-2005,"137-Jahanara Garden, 5th Floor, E-4, Green Road, Dhaka-1205",Dhaka, Green Road, Dhaka-1205,arescon@gmail.com, +88-02-8151121,Unavailable,Unregistered,Ar. Md. Helal Uddin,U-006,CEO/Proprietor,1,4,5
IAB-RP-A14,ARTISAN ARCHITECTS ENGINEERS & DEVELOPMENTS LTD. ,4.9,10,Available,"23.79774313443562, 90.37456446672705",2011,2011-2015,"56/A, DOHS Road, Old DOHS, Banani, Dhaka-1206",Dhaka, Banani, Dhaka-1206,info@artisanbd.com," +88-02-8813992, 9889360",www.artisanbd.com,Registered,Ar. Sayeed Parvez Reza Latif,L-007,Managing Director,1,5,6
IAB-RP-A15,ARTYSPACE DESIGN STUDIO ,4.9,31,Available,"1.31512385298437, 103.8984313085185",2010,2006-2010,"Azad Bhaban (7th Floor), 79/A, Jamal Khan Road, Chittagong, Bangladesh",Chittagong, Jamal Khan, Chittagong-4000,artyspace.designstudio@gmail.com, +88-031-2867388,https://artispacedesignstudio.com,Registered,Ar. Ananya Bikash Barua,B-040,Chief Architect,1,4,5
IAB-RP-A16,AHMED HOSSAIN ARCHITECTS AND ASSOCIATES ,4,4,Available,"23.867706030155862, 90.39184862418455",2009,2006-2010,"House-10, 2nd Floor, Road-03, Sector-05, Uttara, Dhaka 1230.",Dhaka, Uttara, Dhaka-1230,"ahaaabd17@gmail.com, ashraf303@yahoo.com"," +88016179672992, +8801727672992",Unavailable,Unregistered,Ar. Ashraful Alam Ahmed,A-182,Principal Architect,3,3,6
IAB-RP-A17,ALIGN ARCHITECTS ,N/A,N/A,Unavailable,"22.366031503888767, 91.8321578803407",2010,2006-2010,"House-14, Road-14, 1/Kha, Sugandha, Panchlish, Chittagong",Chittagong, Panchlish, Chittagong-4203,hossan_0047@yahioo.com,8801737280617,http://aligngroupbd.com/webmail,Registered,Ar. Hossan Murad,M-084,CEO & Proprietor,2,2,4
IAB-RP-A18,ARC.IN.D ,N/A,N/A,Unavailable,"23.791093183947662, 90.41609298711019",1996,1996-2000,"25, Gulshan Avenue, Taj Casilina (5th Floor), 6/E, Gulshan-1, Dhaka-1212",Dhaka, Gulshan, Dhaka-1212,arcindexind@gmail.com, +88-02-9890855,Unavailable,Unregistered,Ar. Nusrat Jahan,J-016,Managing Director,1,0,1
IAB-RP-A19,ARCH.PMC ,4,4,Available,"23.788346160148, 90.41550932973054",2018,2016-2020,"Plot-22, Road-12, Block-F, Niketan, Gulshan-1, Dhaka-1212",Dhaka, Gulshan, Dhaka-1212,"masiarchitect@gmail.com, arch.pmc.bd@gmail.com",8801799586501,www.archpmc.com,Registered,Ar. Mohammad Sajjadul Islam,I-075,Principal Architect & CEO,1,0,1
IAB-RP-A20,ARCHIAAN ARCHITECTS ,5,3,Available,"23.814126201734148, 90.3573501236361",2014,2011-2015,"14, KA, Ring Road, Khan Plaza, 3rd Floor, Shyamoli, Dhaka",Dhaka, Shyamoli,Dhaka-1207,archiaan07@gmail.com,8801679224304,www.archiaan.com,Registered,Ar. Shohel Ahamed,A-180,Managing Partner,1,0,1
IAB-RP-A21,ARCHINET ARCHITECTS & ENGINEERS ,N/A,N/A,Unavailable,"23.816484329094685, 90.37203263898903",2010,2006-2010,"House-33, Road-04, Dhanmondi, Dhaka-1205",Dhaka, Dhanmondi, Dhaka-1205,archinet2008@gmail.com,8801712228469,Unavailable,Unregistered,Ar. Iftekhar Ahmed,A-143,Principal Architect & CEO,3,0,3
IAB-RP-A22,ARCHITEKTON (PVT.) LTD. ,4.5,6,Available,"23.795566664135713, 90.40924478740205",1995,1991-1995,"House-28, Road-28, Block-K, Banani, Dhaka-1213",Dhaka, Banani, Dhaka-1213,"architekton_bd@yahoo.com, minhas.rahman@architekton.com.bd"," +88-02-9862930, +8801711520963",www.architekton.com.bd,Registered,Ar. Minhasur Rahman,R-044,Managing Director,2,5,7
IAB-RP-A23,ARCHSTUDIO ,5,1,Available,"23.745872933473766, 90.36688286493346",2018,2016-2020,"151, West Dhanmondi, Dhaka-1209",Dhaka, West Dhanmondi, Dhaka-1209,samabegum@gmail.com,8801716897632,Unavailable,Unregistered,Ar. Salma Begum,B-044,Architect,3,0,3
IAB-RP-A24,ARCHYTAS LIMITED ,4.8,4,Available,"23.789041776288308, 90.41609236966302",2014,2011-2015,"Road-36, House-16, Gulshan-2, Dhaka 1212.",Dhaka, Gulshan, Dhaka-1212,archytas.s@gmail.com,8801911386561,www.archytasltd.com,Registered,Ar. Zahidul Hoque Shaikot,S-135,Managing Director,1,1,2
IAB-RP-A25,ARQUITECTURA DESIGN STUDIO,5,10,Available,"23.755241027182176, 90.37377070859976",2015,2011-2015,"Lake Palisade, House 23, Level 02, Road 27, Dhanmondi, Dhaka 1209",Dhaka, Dhanmondi, Dhaka-1209,faiahsa@gmail.com,880241021810,https://www.arquitecturabd.com,Registered,Ar. Fariha Sharmeen Akbar,A-198,Proprietor,4,2,6
IAB-RP-A26,ARQUITECTURA (PVT.) LTD. ,5,10,Available,"23.755241027182176, 90.37377070859976",2017,2016-2020,"Lake Palisade, House 23, Level 02, Road 27, Dhanmondi, Dhaka 1209",Dhaka, Dhanmondi, Dhaka-1209,mail@arquitecturabd.com,880241021810,www.arquitecturabd.com,Registered,Ar. Fariha Sharmeen Akbar,A-198,Chairman,0,0,0
IAB-RP-A27,AYOTEEK ,4.5,10,Available,"23.781875446058894, 90.39676386411439",2016,2016-2020,"House-B 115, 4th Floor, Lane-7,DOHS, Mohakhali, Dhaka 1206",Dhaka, Mohakhali, Dhaka-1206,"kasif@ayoteek.com, ayoteek@gmail.com"," +88-02-9882689, +8801712511535",www.ayoteek.com,Registered,Ar. Muhammed Kasif Hasnaen,H-172,Managing Partner,2,3,5
IAB-RP-A28,ARCHITECTURE TOMORROW ,5,3,Available,"23.838191582162104, 90.36940783103472",2013,2011-2015,"House-730 (Ground Floor), Road-10, Avenue-3/4, DOHS, Mirpur, Dhaka",Dhaka, Mirpur, Dhaka-1216,zaman_arch1122@yahoo.com," +88-02-8080884, +8801716526915",www.architecturetomorrow.com,Registered,Ar. Mohammad Saifuzzaman,S-111,Principal Architect & Managing Director,2,2,4
IAB-RP-A29,ARESCON CONSULTANT ,N/A,N/A,Unavailable,"23.75572803509802, 90.38810106466035",2004,2001-2005,"137, Jahanara Garden, Green Road, 5th Floor, Dhaka-1205",Dhaka, Green Road, Dhaka-1205,"helal201@hotmail.com, arescon1984@gmail.com"," +88-02-8151121, +8801713037260",Unavailable,Unregistered,Ar. Md. Helal Uddin,U-006,Principal Architect,2,1,3
IAB-RP-A30,ARCHITECTS’ HORIZON ,5,7,Available,"24.209714501897757, 90.90267216805125",2017,2016-2020,"House-05, Road-14, Nikunja2, Khilkhat, Dhaka-1229",Dhaka, Khilkhat, Dhaka-1229,biplob.azone@gmail.com," +88-02-55098138, +8801755599208",www.architectshorizon.com,Registered,Ar. Biplob Kumar Mondal,M-116,Founder & Lead Architect,3,0,3
IAB-RP-A31,ASSOCONSULT LTD. ,4,1,Available,"41.835557638125024, 12.464379218851635",1978,1976-1980,"849/3, Begum Rokeya Sharani, 2nd Floor, Shewrapara, Mirpur, Dhaka-1216",Dhaka, Mirpur, Dhaka-1216,assoconbangla@yahoo.com," +88-02-9004662, +88-02-9004663",Unavailable,Unregistered,Ar. Mubasshar Hussain,H-013,Managing Director,0,0,0
IAB-RP-A32,AURITRO ARCHITECTS ,5,1,Available,"12.980019462562092, 77.64210576386817",2014,2011-2015,"House-60/A, Road-7/A, Dhanmondi R/A, Dhaka-1209",Dhaka, Dhanmondi, Dhaka-1209,aupee0061@gmail.com, +88 01815258257,Unavailable,Unregistered,Ar. Mohammad Mahbub Hossain,H-149,Managing Partner,4,0,4
IAB-RP-A33,ARCHITECTS & ASSOCIATES LTD ,5,1,Available,"23.750227658470155, 90.42569337336077",2015,2011-2015,"Plot no-NEO/16, Block-C, Holding no-730, Khilgaon, Dhaka",Dhaka, Khilgaon, Dhaka-1219,arch@aaaltd.com.bd," +88 01758742536, +88 02-47215613",https://aaaltd.com.bd,Registered,Ar. Mahbubul Hasan,H-209,Principal Architect,0,0,0
IAB-RP-A34,ARCHIWORKS CONSULTANTS ,N/A,N/A,Unavailable,"23.774733384959845, 90.41335990219716",2009,2006-2010,"House-48, Road-02, Block-B, 1st Floor, Niketan R/A, Gulshan-1, Dhaka-1212",Dhaka, Gulshan, Dhaka-1212,archiworks.bd@hotmail.com, +88 01715035772,archiworksbd.wixsite.com/home,Registered,Ar. M. Arefeen Ibrahim,I-047,Principal Architect,0,0,0
IAB-RP-A35,ANGON ARCHITECTS ,N/A,N/A,Unavailable,"23.74570165154544, 90.37619925116698",2017,2016-2020,"House-60/A, Road-7/A, Dhanmondi, Dhaka-1216",Dhaka, Dhanmondi, Dhaka-1216,emun97@gmail.com, +88 01711829295,Unavailable,Unregistered,Ar. Md. Momanul Islam Emun,E-008,Principal Architect,3,0,3
IAB-RP-A36,ARC ANGON CONSORTIUM ,N/A,N/A,Unavailable,"23.74567218988986, 90.37625289534519",2017,2016-2020,"House-60/A, Road-7/A, Dhanmondi, Dhaka-1216",Dhaka, Dhanmondi, Dhaka-1216,emun97@gmail.com, +88 01711829295,Unavailable,Unregistered,Ar. Nahas Ahmed Khalil,K-022,Partner,0,0,0
IAB-RP-B01,BASATIKALPA ,N/A,N/A,Unavailable,"22.746780576339635, 91.86617320540216",1982,1981-1985,"70/1 Naya Paltan, VIP Road, Dhaka‐1000",Dhaka, VIP Road, Dhaka‐1000,asfar@global‐bd.net,  +88‐02‐7252314,www.basatikalpa.com,Registered,Ar. Asfarul Islam,I‐020,Proprietor,1,6,7
IAB-RP-B02,BESTEC INFOTECH ,N/A,N/A,Unavailable,"23.864187852618677, 90.40254608500788",2013,2011-2015,"House‐02, Road‐14/A, Sector‐4, Uttara Model Town, Dhaka‐1230",Dhaka, Uttara Model Town, Dhaka‐1230,tariqul@bestecgroup.com, 09611689575‐6,https://bestec.com.au/,Registered,Ar. Tariqul Islam,I‐028,Proprietor,5,15,20
IAB-RP-B03,BINYASH ,4.6,36,Available,"23.778801521806027, 90.39519501808661",2005,2001-2005,"House‐480, Road‐32, New DOHS, Mohakhali, Dhaka‐1206",Dhaka, Mohakhali, Dhaka‐1206,rahat.niaz@gmail.com, +88‐02‐8715368,www.binyashltd.com,Registered,Ar. Rahat Mujib Niaz,N‐029,Principal Architect,0,0,0
IAB-RP-B04,BKS & ASSOCIATES ,N/A,N/A,Unavailable,"23.81346076243884, 90.47202871499925",2008,2006-2010,"House‐07, Road‐05, Apt‐5B, Block‐I, Banani, Dkaka‐1213",Dhaka, Banani, Dkaka‐1213,marathon_architects@yahoo.com, +88‐02‐9677467,www.bksandassociates.com,Registered,Ar. Bidhan Kumar Saha,S‐062,Proprietor,2,3,5
IAB-RP-B05,BABUIBASHA: A SUSTAINABLE ARCHITECTURE. ,N/A,N/A,Unavailable,"23.77552398298975, 90.36476153767481",2013,2011-2015,"The Emporium, D‐05, 14/1, Mirpur Road, Shyamoli, Dhaka‐1207",Dhaka, Shyamoli, Dhaka‐1207,babuibasha@gmail.com,"88,017,115,936,588,800,000,000,000",Unavailable,Unregistered,Ar. Ruksana Sultana,S‐155,Principal,2,2,4
IAB-RP- B06,37 BRIDGE ,N/A,N/A,Unavailable,"23.786156523697883, 90.35379822233256",2009,2006-2010,"138, Darus Salam, Mirpur, Dhaka",Dhaka, Mirpur, Dhaka-1216,contact@37bridge.net, +88‐02‐8051994,www.37bridge.net,Registered,Ar. Faysal Kabir,K‐108,Principal Architect,2,2,4
IAB-RP- B07,BASHA BARI LTD. ,4.2,6,Available,"23.736994709098887, 90.38756603897633",2012,2011-2015,"3rd Floor, 332, Elephant Road, Dhaka‐1205",Dhaka, Elephant Road, Dhaka‐1205,bashabari.architects@gmail.com, +88‐01711534290,Unavailable,Unregistered,Ar. Dr. Prof. Nizamuddin Ahmed,A‐040,Managing Director,2,1,3
IAB-RP-C01,CAD LTD ,4.8,10,Available,"23.791891354254307, 90.41390610274443",1984,1981-1985,"CWN (B), 18/B, Road‐44, Gulshan‐2, Dhaka‐1212",Dhaka, Gulshan, Dhaka‐1212,"cadinan@gmail.com, cadsayeda@gmail.com",8801671119933,cad-inan.com,Registered,Ar. B.K.S. Inan,I‐015,Managing Director,7,0,7
IAB-RP-C02,COCREATE STUDIO ,4.9,69,Available,"-33.876583075659056, 151.10532481078707",2018,2016-2020,"65, Suvastu Imam Square, 5th Floor, Gulshan Avenue, Gulshan‐1, Dhaka‐1212",Dhaka, Gulshan, Dhaka‐1212,cocreate@suvastu.com.bd,8801819272915,https://cocreatestudios.com.au,Registered,Ar. Nazmul Haque Khan,K‐056,Managing Partner,1,0,1
IAB-RP-C03,CUBEINSIDE DESIGN LTD. ,4.7,69,Available,"23.792890899572626, 90.40463434267697",2009,2006-2010,"House‐5B, Road‐05, Block‐I, Banani, Dhaka‐1213",Dhaka, Banani, Dhaka‐1213,cubeinside@gmail.com, +88‐02‐9870193,www.cubeinsidebd.com,Registered,Ar. Khandaker Ashifuzzaman,A‐194,Managing Director,0,0,0
IAB-RP-D01,DESH UPODESH LTD,4,3,Available,"23.7545730979797, 90.37329205431939",1985,1981-1985,"House 80/C (4th floor), Block‐D, Asad Avenue,  Mohammadpur, Dhaka‐1207",Dhaka,  Mohammadpur, Dhaka‐1207,"munirullah@gmail.com, alfaz.hossain1@gmail.com"," +88‐02‐8117694, 9137154",www.deshupodesh.com,Registered,Ar. Munirul Haque,H‐011,Managing Director,0,0,0
IAB-RP-D02,DESIGN CELL ,4.7,17,Available,"23.756547293226692, 90.3849566678126",2012,2011-2015,"75 Indera Road, Metro Garden, Ground Floor, Flat‐GC, Dhaka‐1215",Dhaka, Metro Garden, Dhaka‐1215,designcell.cell@gmail.com, +88‐02‐ 8150612,https://designcellbd.com/,Registered,Ar. Arif Hasan,H‐136,CEO,1,3,4
IAB-RP-D03,DESIGN ENGINEERS & ARCHITECTS ,N/A,N/A,Unavailable,"23.865361982190404, 90.39843643767752",1992,1991-1995,"House‐14, Road‐9, Sector‐4, Uttara",Dhaka, Uttara, Dhaka-1230,tjl_slm@yahoo.com, +88‐02‐9886055,Unavailable,Unregistered,Ar. Tajul Islam,I‐019,Managing Director,2,7,9
IAB-RP-D04,DESIGN VISION ASSOCIATES LTD ,4.2,19,Available,"23.803925615109666, 90.42395400034857",1998,1996-2000," AAA Tower, Plot‐80, Block‐J, baridhara pragati Sharani, Dhaka‐1212",Dhaka, Baridhara Pragati Sharani, Dhaka‐1212,info@designvision.com.bd," +88‐02‐9895183, 8834353",www.designvision.com.bd,Registered,Ar. Alamgir Jalil,J‐014,Managing Director,0,0,0
IAB-RP-D05,DOMUS ,4.4,27,Available,"23.79383206324927, 90.40466453897803",1986,1986-1990," Safura Tower(level 14), 20 Kamal Atartuk Avenue,Banani C/A,  Banani ,Dhaka 1213",Dhaka,  Banani ,Dhaka-1213,"domus@accesstel.net, domusdesk@gmail.com"," +88‐02‐8822629, 9820968, 9820969, 9889418",www.domusbdarchitects.com,Registered,Ar. Mustafa Ameen,A‐010,Proprietor,6,12,18
IAB-RP-D06,DCON DESIGN STUDIO ,4.8,52,Available,"23.762738487016506, 90.37224302123828",2005,2001-2005," 6/10, 1st Floor, Lalmatia, Block‐A, Dhaka",Dhaka, Lalmatia, Dhaka-1207,"dcon.design@gmail.com, faisal2395@hotmail.com", : +8801711614551,https://dcon.com.bd/service-building.html,Registered,Ar. Abu Anas Faisal,F‐012,Partner,3,3,6
IAB-RP-D07,DEHSAR WORKS ,4.8,13,Available,"23.789130200971808, 90.4025224739087",2015,2011-2015," Apt‐LV8, House‐10, Road‐6/A, Dhanmondi R/A, Dhaka‐1209",Dhaka, Dhanmondi, Dhaka‐1209,rashed@dehsarworks.com,8801818064118,www.dehsarworks.com,Registered,Ar. Rashed Hassan Chowdhury,C‐069,Principal Architect,4,5,9
IAB-RP-D08,DIAGONAL ARCHITECTS ,N/A,N/A,Unavailable,"23.774823664251425, 90.36359713767474",2014,2011-2015," Flat‐A‐14, (14th Floor), Building‐12, Bashati Provati, Ring Road, Shyamoli, Dhaka‐1207.",Dhaka, Shyamoli, Dhaka‐1207,fairoze@diagonalarchitects‐bd.com," +88‐02‐9126473,8801766490119",www.diagonalarchitects‐bd.com,Registered,Ar. Fairoze Shamim,S‐067,CEO & Principal Architect,1,2,3
IAB-RP-D09,DOT ARCHITECTS ,N/A,N/A,Unavailable,"23.76206997324969, 90.358704766177",2014,2011-2015," House‐40, Road‐12, Block‐Kha, PC Culture Housing Society, Mohammadpur, Dhaka‐1207",Dhaka, Mohammadpur, Dhaka‐1207,Dot.architects@hotmail.com," +8801612880595, +8801965370464",dotarchbd.com,Registered,Ar. Sudeshna Shireen Chowdhury,C‐063,Partner Architect,0,0,0
IAB-RP-D10,DWG ,4.9,16,Available,"23.752411319268088, 90.36871220829164",2008,2006-2010," House‐56,Road‐27,Apt‐1 C1, Dhanmond R/A, Dhaka‐1209",Dhaka, Dhanmond, Dhaka‐1209,info@dwg‐office.com," +88‐02‐9125596,8801819287680",www.dwg‐office.com,Registered,Ar. Naheed Farzana,F‐010,Managing Partner,0,0,0
IAB-RP-D11,DA‐SEIN ARCHITECTS ,5,3,Available,"23.746724003171277, 90.37882921232456",2004,2001-2005," Unit: 1/C/1, House: 56, Road: 27(old), 16 (new), Dhanmondi, Dhaka‐1209.",Dhaka, Dhanmondi, Dhaka‐1209,shawon.dasein@gmail.com," +88 01711937254, +88 02‐9125596",www.dasein‐bd.com,Registered,Ar. Md Rashidur Rahman,R‐134,Principal Architect,0,0,0
IAB-RP-D12,DWm4 ARCHITECTS ,4,2,Available,"23.783971437741588, 90.39550872863681",1995,1991-1995," 236, Lake Road , New DOHS , Mohkhali , Dhaka ‐1206",Dhaka, Mohkhali , Dhaka‐1206,info@dwm4intrends.com," +88 01712921323, +88 02‐9885564",www.dwm4.com,Registered,Ar. Mamnoon M. Chowdhury,C‐031,Architect & Partner,0,0,0
IAB-RP-D13,DWm4 INTRENDS LTD. ,N/A,N/A,Unavailable,"23.782744224086294, 90.39397450514046",2014,2011-2015," 236, Lake Road, New DOHS, Mohakhali, Dhaka‐1206",Dhaka, Mohakhali, Dhaka‐1206,info@dwm4intrends.com, +88 02‐222280802,www.dwm4intrends.com,Registered,Ar. Mamnoon M. Chowdhury,C‐031,Chairman,0,0,0
IAB-RP-E01,ENVIRON STRUCTURE LTD. ,N/A,N/A,Unavailable,"23.804209688446665, 90.4124991101427",1988,1986-1990,"86 Laboratory Road, Dhanmondi R/A,  Dhaka‐1205",Dhaka, Dhanmondi,  Dhaka‐1205,esl_arch@yahoo.com," +88‐02‐9660876, 9660851",https://www.environ-sl.com/,Registered,Ar. Moid Ul Ahsan,A‐028,Managing Director,6,9,15
IAB-RP-E02,ECLIPTIC ,4.8,9,Available,"23.76048233140177, 90.38491602548393",2009,2006-2010,"27/D, Monipuripara, Tejgaon, Dhaka‐1215",Dhaka, Tejgaon, Dhaka‐1215,eclipticbd@gmail.com," +88‐02‐9145364, +8801819244544",Unavailable,Unregistered,Ar. Tanwir Serajuddowla,S‐075,Chairman & Principal Architect,3,2,5
IAB-RP-E03,EHSAN KHAN ARCHITECTS LTD. ,5,1,Available,"23.77916282931441, 90.4204581071941",2010,2006-2010,"25, Gulshan Avenue, Taj Casilina (5th Floor), 6/E, Gulshan‐1, Dhaka‐1212",Dhaka, Gulshan, Dhaka‐1212,"ehsan@ekarchitects.com.bd, admin@ekarchitects.com.bd", +88‐02‐9890855,Unavailable,Unregistered,Ar. Md. Ehsan Khan,K‐047,Managing Director,10,3,13
IAB-RP-E04,ENVISION ARCHITECTS  ,N/A,N/A,Unavailable,"23.756244835560434, 90.36818917151146",1999,1996-2000,"6/2, Block‐B, 1st Floor, Lalmatia, Dhaka‐1207",Dhaka, Lalmatia, Dhaka‐1207,"qazimarif2012@gmail.com, principal@envision‐arch.org", +88‐02‐58151763,www.envision‐arch.org,Registered,Ar. Qazi Muhammad Arif,A‐059,Principal Architect,3,1,4
IAB-RP-F01,FOURTH DIMENSION ,5,1,Available,"23.86570520562129, 90.40743925182028",2007,2006-2010,"House‐25/A, Road‐18, Sector‐3, Uttara Model Town, Dhaka‐1230",Dhaka, Uttara Model Town, Dhaka‐1230,turjo_96inte@yahoo.com," +88‐02‐7913394, 8957701",www.fourthdimensionbd.com,Registered,Ar. A. F. M. Ashek Imran,I‐061,Proprietor & Principal Architect,2,12,14
IAB-RP-F02,FALGUNI MALLICK & ASSOCIATES ,N/A,N/A,Unavailable,"23.869314769226516, 90.39484370829521",2011,2011-2015,"Flat‐B2, House‐29&31, Road‐18, Sector‐7, Uttara, Dhaka‐1230",Dhaka, Uttara, Dhaka‐1230,"fma_architects@yahoo.com, fmallick74@gmail.com",8801970112299,https://falgunimallick-associates.com/,Registered,Ar. Falguni Mallick,M‐046,Principal Architect,2,4,6
IAB-RP-F03,FIALKA ,N/A,N/A,Unavailable,"22.347142979633112, 91.83466735242851",1999,1996-2000,"Press Club Building, (2nd Floor), Jamal Khan Road, Chittagong.",Chittagong, Jamal Khan, Chittagong-4000,ashiq.fialka@gmail.com," +88‐031‐618599, +88‐031‐,2863269",Unavailable,Unregistered,Ar. Ashiq Imran,I‐044,Principal Architect,3,2,5
IAB-RP-G01,GKA & ASSOCIATES  ,N/A,N/A,Unavailable,"23.74749930392894, 90.37113671122559",2009,2006-2010," 5A, 5th Floor, House‐99, Road‐11/A, Dhanmondi R/A, Dhaka‐1209",Dhaka, Dhanmondi, Dhaka‐1209,gakhan0306@yahoo.com, +88‐02‐8191082,www.gka‐bd.com,Registered,Ar. Ghausul Alam Khan,K‐027,CEO/Proprietor,1,4,5
IAB-RP-G02,GENESIS ARCHITECTS ,5,1,Available,"24.00034319486305, 90.42764856412107",2017,2016-2020," House‐F‐214/3, Uttar Chaya Bithy, Gazipur Sadar, Gazipur‐1700",Dhaka, Gazipur Sadar, Gazipur‐1700,info@genesis.archi,8801812807687,www.genesis.archi,Registered,Ar. Noymul Haque Nohon,N‐040,CEO,1,4,5
IAB-RP-G03,GRAVITY ARCHITECTURE STUDIO ,4.7,13,Available,"23.783964284650313, 90.39412420644317",2017,2016-2020," House 268 (4th Floor‐Right), Road 19, New DOHS Mohakhali, Dhaka‐1206.",Dhaka, New DOHS Mohakhali, Dhaka‐1206,gravity.asbd@gmail.com," +88 01730096986, +88 01676057570",www.gravityarchitecturestudio.com,Registered,Ar. Md. Nahid Hasan,H‐186,Managing Partner,0,0,0
